REF_AREA;REF_AREA_LABEL;OBS_VALUE
SRB;Serbia;968.152.288.366.384
SSD;South Sudan;3.437.745.797.088.180
STP;Sao Tome and Principe;20.441.552.526.275.700
SUR;Suriname;34.784.960.843.877.300
SVK;Slovak Republic;9.444.644.553.468.810
SVN;Slovenia;9.647.352.829.795.880
SWE;Sweden;9.931.275.109.395.450
SWZ;Eswatini;7.942.930.444.875.770
SYC;Seychelles;5.040.590.930.742.900
SYR;Syrian Arab Republic;5.155.047.560.252.060
TCD;Chad;48.677.992.723.194.000
TGO;Togo;9.005.747.879.478.030
THA;Thailand;9.921.875.650.364.200
TJK;Tajikistan;2.536.481.846.771.690
TKM;Turkmenistan;2.585.526.161.877.400
TLS;Timor-Leste;16.824.355.440.994.000
TON;Tonga;33.791.961.080.573.700
TTO;Trinidad and Tobago;5.622.310.331.055.980
TUN;Tunisia;819.286.102.148.827
TUV;Tuvalu;2.033.905.403.462.460
TZA;Tanzania;9.926.656.210.456.570
UGA;Uganda;831.033.078.143.338
UKR;Ukraine;8.393.788.158.662.880
URY;Uruguay;9.469.904.657.638.230
USA;United States;9.985.645.619.146.720
UZB;Uzbekistan;8.920.069.230.914.750
VAT;Holy See (Vatican City State);6.150.251.041.432.180
VCT;St. Vincent and the Grenadines;2.655.322.003.558.600
VEN;Venezuela, RB;4.049.878.085.731.140
VNM;Viet Nam;9.974.051.696.149.840
VUT;Vanuatu;6.928.810.808.184.630
WSM;Samoa;4.322.380.932.490.580
YEM;Yemen, Rep.;7.194.872.990.884.980
ZAF;South Africa;8.624.631.585.951.450
ZMB;Zambia;9.258.162.775.966.410
ZWE;Zimbabwe;398.607.634.278.177
